model,year,mean_lst,median_lst,min_lst,max_lst
MLR,2030,29.768741313560124,29.554544661156978,24.801426849107997,43.9515816727434
MLR,2040,30.28453385091511,29.949206571941158,24.648876360036414,46.909550062141946
