x_name,y_name,pearson_r,pearson_p,spearman_rho,spearman_p,n
NDBI,LST,0.9125962008456244,0.0,0.9045336499333747,0.0,3128
NDVI,LST,-0.7660261993722328,0.0,-0.6642779608936504,0.0,3128
