quadrant_code,quadrant,pixel_count,percentage,ndbi_threshold,lst_threshold
1,Low NDBI / Low LST,1420,42.926239419588875,-0.1320221945643425,28.30323600769043
2,High NDBI / Low LST,234,7.0737605804111245,-0.1320221945643425,28.30323600769043
3,Low NDBI / High LST,234,7.0737605804111245,-0.1320221945643425,28.30323600769043
4,High NDBI / High LST,1420,42.926239419588875,-0.1320221945643425,28.30323600769043
