model,year,mean_lst,median_lst,min_lst,max_lst
MLR,2030,29.768741066486406,29.554544084966913,24.801426849107997,43.9515816727434
MLR,2040,30.284533603841393,29.949205995751093,24.648876360036414,46.909550062141946
CNN-LSTM-Attention,2030,27.378131866455078,25.734729766845703,23.028013229370117,37.54371643066406
CNN-LSTM-Attention,2040,27.41364288330078,25.75041961669922,23.027936935424805,37.68445587158203
