lst,ndbi,tvdi,impervious_fraction,building_density,year
32.27,-0.06738686,1.0,0.6374011,-0.06738686,2000
31.840345,-0.079275504,1.0,0.5878566,-0.079275504,2000
31.924286,-0.05198905,0.9157769474015458,0.7015696,-0.05198905,2000
31.654615,-0.045611095,0.965206455350052,0.72814894,-0.045611095,2000
32.26,-0.037373934,0.9654369258753704,0.7624764,-0.037373934,2000
32.04214,-0.06789846,1.0,0.635269,-0.06789846,2000
31.701035,-0.06724776,0.9633837646135721,0.63798076,-0.06724776,2000
32.264286,-0.033679135,0.9140679832982362,0.77787393,-0.033679135,2000
32.575184,-0.015701778,0.9909585437028643,0.85279244,-0.015701778,2000
32.968517,-0.023426306,0.9869268565914353,0.8206014,-0.023426306,2000
33.22231,-0.030070186,1.0,0.79291385,-0.030070186,2000
33.5204,-0.019593703,0.9664231448820615,0.83657336,-0.019593703,2000
33.416206,-0.034799896,1.0,0.7732034,-0.034799896,2000
27.873636,-0.13536203,0.428874442611282,0.3541227,-0.13536203,2000
28.6875,-0.12508759,0.5537212523530232,0.3969402,-0.12508759,2000
29.054167,-0.13364501,0.6916312220365337,0.36127818,-0.13364501,2000
29.43261,-0.1265301,0.7142893633976871,0.39092875,-0.1265301,2000
29.495218,-0.09917863,0.8105365598514009,0.5049127,-0.09917863,2000
29.816154,-0.10334513,1.0,0.48754928,-0.10334513,2000
30.273705,-0.08633816,0.8852276211189549,0.5584238,-0.08633816,2000
30.323334,-0.09467321,0.89100593461921,0.5236885,-0.09467321,2000
30.01,-0.10801122,0.8104050425639934,0.46810392,-0.10801122,2000
29.627037,-0.11199921,0.7151902016159165,0.45148444,-0.11199921,2000
29.0612,-0.14264897,0.6672358333461504,0.32375526,-0.14264897,2000
28.802174,-0.14077885,0.6026879384686041,0.33154875,-0.14077885,2000
29.096,-0.12715623,0.6758764362218206,0.3883194,-0.12715623,2000
29.09625,-0.15510847,0.7094084330929628,0.2718318,-0.15510847,2000
28.931429,-0.15043445,0.5914795228287083,0.2913102,-0.15043445,2000
28.798,-0.15849113,0.5702715235694389,0.25773492,-0.15849113,2000
28.420666,-0.15872991,0.5368109731853357,0.25673985,-0.15872991,2000
28.240667,-0.1582456,0.5595201831027125,0.2587582,-0.1582456,2000
28.07625,-0.16181676,0.4834376271016763,0.24387579,-0.16181676,2000
31.823914,-0.08108856,1.0,0.58030087,-0.08108856,2000
31.77174,-0.084883295,1.0,0.5644868,-0.084883295,2000
32.1684,-0.04823136,0.8959064547571359,0.7172293,-0.04823136,2000
32.86926,-0.027142024,0.9204089993783101,0.80511665,-0.027142024,2000
33.225834,-0.027515173,1.0,0.80356157,-0.027515173,2000
33.455833,-0.026405355,1.0,0.8081866,-0.026405355,2000
33.6875,-0.03930806,1.0,0.7544161,-0.03930806,2000
33.6756,-0.043051712,1.0,0.7388149,-0.043051712,2000
33.43667,-0.022687202,1.0,0.8236816,-0.022687202,2000
33.086876,-0.03164366,1.0,0.78635657,-0.03164366,2000
32.83125,-0.07257471,1.0,0.6157813,-0.07257471,2000
28.18,-0.16038686,0.468217514817249,0.24983473,-0.16038686,2000
28.496363,-0.13929766,0.5812825900904932,0.3377214,-0.13929766,2000
28.52619,-0.13366489,0.5281604736310229,0.36119533,-0.13366489,2000
28.818462,-0.13812271,0.6413769800634637,0.3426179,-0.13812271,2000
29.2972,-0.111981794,0.7816048599632508,0.45155704,-0.111981794,2000
29.7188,-0.100386254,0.8938678268430604,0.49988005,-0.100386254,2000
30.01923,-0.099359944,1.0,0.50415707,-0.099359944,2000
30.31643,-0.06058727,0.7877293416062053,0.66573757,-0.06058727,2000
30.88613,-0.07179877,0.8296052847140422,0.619015,-0.07179877,2000
31.2108,-0.081161335,0.9883724421784206,0.5799976,-0.081161335,2000
30.5556,-0.09061619,0.9223306749904254,0.54059565,-0.09061619,2000
29.371666,-0.12558508,0.6714220593280704,0.39486697,-0.12558508,2000
28.326365,-0.14550927,0.5184760976193941,0.3118353,-0.14550927,2000
28.759523,-0.12940134,0.5485087733474708,0.37896317,-0.12940134,2000
28.856316,-0.14863643,0.5812638879766109,0.29880324,-0.14863643,2000
28.998236,-0.15293092,0.5831444553604807,0.28090647,-0.15293092,2000
29.05,-0.1500724,0.5869590305109184,0.29281902,-0.1500724,2000
28.677143,-0.15134516,0.5823396891378911,0.28751493,-0.15134516,2000
28.246923,-0.15673122,0.5803845705741374,0.2650692,-0.15673122,2000
28.032352,-0.15774602,0.5529773836800418,0.26084012,-0.15774602,2000
27.814444,-0.16930233,0.49410087772111205,0.21268058,-0.16930233,2000
27.511177,-0.16317481,0.3558597546103131,0.23821628,-0.16317481,2000
27.874706,-0.15971307,0.4387346747554748,0.25264263,-0.15971307,2000
27.9475,-0.16261433,0.48200450763172736,0.24055201,-0.16261433,2000
28.611334,-0.147623,0.5765923504199472,0.30302656,-0.147623,2000
29.448572,-0.13494928,0.6543005289944498,0.35584277,-0.13494928,2000
28.487648,-0.15620473,0.5810313319482447,0.26726326,-0.15620473,2000
28.115883,-0.17567378,0.4825322993071763,0.1861283,-0.17567378,2000
28.304117,-0.14598621,0.5971587057888839,0.30984768,-0.14598621,2000
28.214,-0.13727763,0.5020824397530609,0.34613967,-0.13727763,2000
28.611176,-0.14289717,0.5441165253498763,0.3227209,-0.14289717,2000
28.645294,-0.14599979,0.6239217578839158,0.30979112,-0.14599979,2000
28.198889,-0.15222499,0.5955107289842323,0.28384835,-0.15222499,2000
28.038422,-0.16225131,0.5423145989183024,0.24206486,-0.16225131,2000
27.858181,-0.17565301,0.4949423197464737,0.18621488,-0.17565301,2000
27.581667,-0.178895,0.42324096768176855,0.17270428,-0.178895,2000
27.7868,-0.17924112,0.49824924256699316,0.17126185,-0.17924112,2000
27.3308,-0.17620037,0.3746776384147529,0.1839338,-0.17620037,2000
27.614614,-0.1694873,0.41550604557463333,0.21190974,-0.1694873,2000
28.524075,-0.13428663,0.5676659896459734,0.3586043,-0.13428663,2000
